latitude,longitude,depth
29.878586,-97.93283,0.904
29.87859,-97.93283,0.958
29.87859,-97.93282,1.013
29.878592,-97.93282,1.013
29.878595,-97.932816,1.013
29.8786,-97.932816,1.013
29.878603,-97.932816,1.04
29.878603,-97.932816,1.013
29.878601,-97.932816,1.342
29.878601,-97.932816,1.287
29.878603,-97.93281,1.259
29.878609,-97.932816,1.205
29.87861,-97.932816,1.259
29.878613,-97.93282,1.396
29.878622,-97.932816,1.15
29.878628,-97.932816,1.177
29.878632,-97.932816,1.177
29.87863,-97.93282,1.15
29.878632,-97.93282,1.15
29.878637,-97.93282,1.123
29.87864,-97.93282,1.123
29.878645,-97.932816,1.095
29.878649,-97.932816,1.095
29.878653,-97.932816,1.15
29.878656,-97.932816,1.068
29.87866,-97.932816,1.15
29.878658,-97.93282,1.15
29.878662,-97.932816,1.205
29.878658,-97.93281,1.177
29.878656,-97.93281,1.068
29.878654,-97.93281,1.068
29.878654,-97.93281,1.013
29.878654,-97.9328,1.04
29.878653,-97.9328,1.15
29.878653,-97.93279,1.123
29.878656,-97.932785,1.15
29.878658,-97.932785,1.177
29.878666,-97.93278,1.095
29.87867,-97.93277,1.205
29.878672,-97.93277,1.177
29.87867,-97.93277,1.177
29.878668,-97.93277,1.205
29.878666,-97.93277,1.095
29.878664,-97.93277,1.205
29.878662,-97.93276,1.177
29.878662,-97.93275,1.177
29.878664,-97.93275,1.205
29.878658,-97.93275,1.205
29.878658,-97.93275,1.177
29.87866,-97.932755,1.177
29.878658,-97.93276,1.232
29.87867,-97.93276,1.259
29.878674,-97.93276,1.123
29.878668,-97.93276,1.095
29.878668,-97.93276,1.123
29.878677,-97.932755,1.123
29.87868,-97.932755,1.177
29.878677,-97.932755,1.04
29.878677,-97.93275,1.15
29.87868,-97.93275,1.15
29.878683,-97.93274,1.259
29.878685,-97.93275,1.177
29.878689,-97.932755,1.205
29.87869,-97.93276,1.068
29.87869,-97.93276,1.04
29.87869,-97.93276,1.04
29.87869,-97.93276,1.095
29.878689,-97.93276,1.04
29.878685,-97.93276,0.904
29.878683,-97.932755,0.849
29.878683,-97.932755,0.876
29.878683,-97.932755,0.739
29.87868,-97.93276,0.849
29.878674,-97.93276,0.739
29.87867,-97.932755,0.712
29.878668,-97.932755,0.849
29.878668,-97.932755,0.876
29.878668,-97.932755,1.068
29.878668,-97.93275,0.986
29.878668,-97.93275,1.095
29.878666,-97.93275,1.15
29.878666,-97.93275,1.013
29.878662,-97.93275,1.095
29.878662,-97.93275,0.986
29.87866,-97.93275,1.123
29.878658,-97.93275,1.123
29.878656,-97.93275,1.177
29.878654,-97.93275,1.177
29.878654,-97.932755,1.177
29.878654,-97.932755,1.205
29.878653,-97.932755,1.068
29.87865,-97.93276,1.123
29.87865,-97.93276,1.123
29.878649,-97.93276,1.15
29.878645,-97.93276,1.095
29.87864,-97.93277,1.205
29.87864,-97.93276,1.205
29.878635,-97.93276,1.232
29.878632,-97.93277,1.177
29.87863,-97.93277,1.259
29.878632,-97.93277,1.232
29.87863,-97.93278,1.205
29.87863,-97.93277,1.232
29.878632,-97.93277,1.177
29.878628,-97.93277,1.177
29.878595,-97.93276,1.232
29.8786,-97.93276,1.177
29.878595,-97.932755,1.205
29.87858,-97.93275,1.259
29.878578,-97.93275,1.314
29.878574,-97.93275,1.177
29.878572,-97.93275,1.232
29.878569,-97.932755,1.259
29.878561,-97.932755,1.287
29.87856,-97.93276,1.396
29.87855,-97.93277,1.369
29.878546,-97.93278,1.369
29.878538,-97.932785,1.232
29.878532,-97.9328,1.232
29.878523,-97.9328,1.123
29.878517,-97.93281,1.068
29.878513,-97.932816,0.876
29.878517,-97.93282,0.821
29.878515,-97.93283,0.821
29.878517,-97.93283,0.767
29.87852,-97.93284,0.794
29.878515,-97.93284,0.904
29.878515,-97.93284,0.876
29.87852,-97.93284,0.904
29.878525,-97.932846,0.849
29.878542,-97.932846,0.712
29.87855,-97.93285,0.821
29.878555,-97.93286,0.849
29.87856,-97.93286,0.931
29.878565,-97.93286,0.821
29.87857,-97.93286,0.876
29.878572,-97.93286,0.821
29.878574,-97.93285,0.712
29.878578,-97.93285,0.849
29.878584,-97.93285,0.767
29.878586,-97.932846,0.794
29.87859,-97.932846,0.876
29.878593,-97.932846,0.849
29.878592,-97.93284,0.958
29.878593,-97.93284,0.794
29.878597,-97.93284,0.739
29.878601,-97.93283,1.04
29.878605,-97.93282,0.958
29.878607,-97.932816,0.958
29.87861,-97.93281,0.986
29.878614,-97.93281,1.068
29.878624,-97.9328,1.232
29.878628,-97.93279,1.177
29.878632,-97.93279,1.15
29.878632,-97.932785,1.342
29.878633,-97.93279,1.314
29.878633,-97.93279,1.369
29.878635,-97.93279,1.205
29.878637,-97.932785,1.232
29.878637,-97.932785,1.15
29.87864,-97.932785,1.205
29.878637,-97.932785,1.15
29.87864,-97.93278,1.177
29.878641,-97.93277,1.314
29.878649,-97.93277,1.177
29.878653,-97.93277,1.232
29.878654,-97.93276,1.205
29.878656,-97.932755,1.177
29.878653,-97.932755,1.177
29.878654,-97.932755,1.177
29.878654,-97.932755,1.232
29.878658,-97.93275,1.013
29.878664,-97.93275,1.123
29.878666,-97.93275,1.068
29.878668,-97.93275,1.15
29.878672,-97.93275,1.04
29.878672,-97.93275,1.123
29.878672,-97.932755,1.04
29.878672,-97.932755,1.095
29.878674,-97.932755,0.986
29.878675,-97.93275,1.013
29.878675,-97.93275,1.04
29.878677,-97.93275,0.904
29.878677,-97.93275,0.876
29.878677,-97.93275,0.958
29.878677,-97.93275,1.04
29.87868,-97.93275,0.876
29.87868,-97.93275,0.794
29.87868,-97.93275,1.013
29.87868,-97.93275,0.931
29.87868,-97.93274,0.931
29.878681,-97.93274,0.876
29.87868,-97.93273,0.712
29.878681,-97.93273,0.712
29.878683,-97.93273,0.794
29.878681,-97.932724,0.794
29.87868,-97.93272,0.712
29.878681,-97.93272,0.712
29.878681,-97.93272,0.931
29.87868,-97.93272,0.849
29.87868,-97.93271,0.904
29.87868,-97.93271,0.767
29.87868,-97.93271,0.821
29.87868,-97.93271,0.958
29.87868,-97.93271,0.821
29.87868,-97.93271,0.767
29.87868,-97.93271,0.876
29.878677,-97.93271,0.739
29.878677,-97.93271,0.739
29.878677,-97.93271,0.794
29.878675,-97.93271,0.794
29.878675,-97.93271,0.767
29.878674,-97.93271,0.904
29.878674,-97.93271,0.931
29.878674,-97.93271,0.849
29.878674,-97.93271,0.986
29.878674,-97.93271,0.931
29.878672,-97.93271,0.931
29.878672,-97.93271,1.013
29.878672,-97.93271,0.904
29.878672,-97.93271,0.958
29.878672,-97.93271,0.958
29.878672,-97.93271,0.876
29.878672,-97.93271,0.821
29.878672,-97.93271,0.821
29.878674,-97.93271,1.123
29.878674,-97.9327,1.177
29.878677,-97.93271,0.904
29.878677,-97.93271,0.849
29.878675,-97.93271,0.958
29.878675,-97.93271,0.958
29.878674,-97.93271,1.095
29.878672,-97.93271,1.04
29.878672,-97.93271,1.095
29.878674,-97.93271,0.931
29.878672,-97.93271,0.849
29.878674,-97.93271,0.904
29.878674,-97.93271,0.931
29.878674,-97.93271,0.876
29.878674,-97.9327,0.904
29.878672,-97.9327,1.013
29.878674,-97.9327,1.04
29.878672,-97.9327,0.849
29.878674,-97.9327,0.849
29.878672,-97.9327,0.876
29.878672,-97.9327,0.986
29.878672,-97.9327,1.068
29.878672,-97.9327,1.04
29.87867,-97.9327,1.068
29.878668,-97.93271,1.259
29.878668,-97.93271,1.095
29.878668,-97.93272,1.15
29.878668,-97.93272,1.15
29.878668,-97.93272,1.15
29.878666,-97.93272,1.177
29.878666,-97.93272,1.123
29.878666,-97.93272,1.123
29.878666,-97.93272,1.095
29.878664,-97.932724,1.123
29.878628,-97.93274,1.123
29.878624,-97.93275,1.095
29.87861,-97.932755,1.095
29.878572,-97.93281,1.342
29.878557,-97.932816,1.314
29.878542,-97.93282,1.369
29.878532,-97.93283,1.232
29.878527,-97.93284,1.068
29.878521,-97.932846,1.04
29.87852,-97.93285,0.849
29.87852,-97.93287,0.849
29.878523,-97.93288,0.739
29.878527,-97.93288,0.794
29.878532,-97.93288,0.794
29.878534,-97.93288,0.931
29.878542,-97.93288,0.849
29.878546,-97.93288,0.821
29.878546,-97.93287,0.794
29.878546,-97.93286,0.821
29.878551,-97.93286,1.013
29.878561,-97.93285,1.15
29.878569,-97.93285,1.068
29.87857,-97.93285,1.013
29.878572,-97.93285,1.205
29.87857,-97.93285,1.342
29.878567,-97.93285,1.342
29.87857,-97.93285,1.04
29.878572,-97.93286,1.068
29.878574,-97.93286,0.958
29.87858,-97.93286,0.821
29.878584,-97.93286,0.931
29.878588,-97.93286,1.013
29.878593,-97.93286,0.767
29.8786,-97.93287,0.849
29.878605,-97.93287,0.739
29.878609,-97.93286,0.767
29.878609,-97.93286,0.849
29.87861,-97.93286,0.876
29.878613,-97.93286,0.849
29.878616,-97.93286,0.767
29.87862,-97.93286,0.849
29.878624,-97.93286,0.794
29.878626,-97.93286,0.876
29.878628,-97.93286,0.849
